company_id,industry_id
391906,82
22292832,48
20300,41
3570660,82
878353,104
729238,96
766849,104
12828,34
2934678,96
15984730,96
34771607,43
947812,56
6618000,96
5887,104
34214892,132
16239240,92
75056372,96
23656,104
33218,104
1712844,44
11056,104
24440,96
4592,135
33671,23
11676886,11
7164053,41
14158,104
366025,92
18306,32
6213,25
349088,57
3556531,19
4433,104
4787,96
65294553,104
90869,104
7790573,11
74827,96
5396873,4
99410085,27
261933,96
164376,96
36226,100
50861,104
1054905,54
18939015,104
2855513,92
649827,104
4015761,88
24803,104
13345578,96
98504846,44
56833,104
1705516,44
203227,137
33279976,104
3345041,100
54077952,53
27021761,96
5304844,48
63155,29
356432,122
30104,104
4674,59
8913985,4
15457223,14
397597,137
5117988,48
53255,96
970538,104
9372063,144
15506,43
2254994,104
48024,48
111849,96
77912635,113
65647,104
213746,104
1381506,48
146782,96
16169840,104
612698,14
770551,14
35123,94
13333,104
1404653,92
6522041,135
777243,104
86734830,43
468898,96
24996269,14
164126,41
75584764,96
3293893,44
10638654,14
1499970,122
71373471,96
46970,104
1552586,96
91371020,11
22448914,11
165464,96
47024,104
100977746,96
10126963,104
8323,4
143796,104
109785,23
9280354,96
3638332,137
56147841,13
57301703,100
680248,25
3476,104
1056670,96
18298504,43
13331595,96
705539,104
934588,7
28498,14
2911058,84
10620373,4
294125,96
74604183,96
3670040,48
8556,43
361424,144
101478385,82
26638644,96
684457,50
259589,104
2721914,8
90396,4
19647,96
708917,43
72139474,43
3256227,46
8288,1
682039,94
82812549,43
1375914,135
1364228,96
10572843,61
2743,27
42368,56
886425,75
2121817,96
52147722,96
164075,92
331482,135
8919656,43
71951690,96
2985733,96
26162,100
22355,68
34616,96
1284538,42
2248728,147
2740447,86
2217,57
860999,96
77230639,139
418549,14
16903,96
590130,96
13727,17
35477056,4
6575960,104
1788903,49
333636,94
21541,96
17937,104
3488,4
1765887,104
99019748,4
743843,104
49041,27
1394696,42
94176135,33
32090,104
33146581,96
18944507,139
250099,104
14562893,96
35513424,104
11005191,31
10146704,23
827183,104
31474641,96
373568,104
2837158,48
6814,27
2070896,41
103157091,104
482272,96
3541916,104
84810235,104
22517,81
35690611,104
272484,53
693360,104
74160429,104
11541,19
5235,137
6652390,108
80936343,96
4872007,104
2181040,51
53157,124
53195,55
165876,88
66022,25
74571418,19
775963,142
15982494,96
7585,104
165568,14
726206,88
162866,19
10592585,104
148738,133
19150067,19
10205455,104
10500730,34
3805712,53
52945,32
2329852,4
2107301,48
758538,48
2551202,124
620188,44
488066,142
64558550,28
64877765,96
457885,104
14379449,96
10612451,96
4661,96
3266676,67
672814,96
11229,104
42054,96
13179119,58
584401,14
1107795,34
74713745,25
92633414,96
218097,14
121408,137
400176,96
18921,104
323296,104
5294,43
41255,104
36519,104
67289844,104
72460832,43
77117,80
4399,43
74411,69
3272531,14
11243687,96
87089248,43
64726,14
860833,14
226965,104
69392001,48
25461,104
14580269,4
378223,32
11193,9
51701268,104
15160138,96
91447303,96
12908540,137
611131,49
92188790,31
1117266,137
1072126,14
3831791,91
80451189,104
6416768,51
511617,99
56466229,105
3785467,96
10801655,11
328568,60
233054,96
2087,53
518206,104
86860077,123
4026134,59
164044,42
2096,55
10013619,34
33250915,96
90985,135
1725692,133
74722833,104
8363,44
101396860,96
28126191,96
4594437,53
3631283,51
163885,126
311752,9
34310,86
122451,104
272414,27
62101,41
9025,69
1494955,96
12192,27
162570,77
30160523,80
89551968,104
35585529,68
73845708,137
11471407,48
164848,75
1681,104
4440,43
22113,4
46201,147
232394,104
2240218,104
21337,14
80354,117
6083,19
162510,70
10201130,137
81297771,104
74097,104
280666,100
219963,75
3776,80
20507081,54
116025,57
2150532,55
164131,104
68818843,133
52176410,104
74075477,104
36411,15
73836834,43
544277,96
2979375,148
3256390,112
5328,27
7041911,9
91423287,4
16057060,33
887799,55
27189203,9
619425,88
5343,34
132319,104
2090,53
2753,135
17962594,14
15085131,32
11963,9
71575605,92
31162076,98
2043953,104
2849719,14
33264,44
331509,104
4564,14
100274477,104
24157,43
5348965,17
33338,14
5345313,96
22134,96
2030200,4
229433,4
65588154,104
14377562,84
34414,94
309222,104
3626487,15
82284641,48
1996803,92
388449,41
11022780,115
79383535,96
781738,80
53369792,139
349330,75
2160548,4
3714038,43
51584508,44
379775,43
27096316,43
164590,55
110859,1
20911,43
68229923,104
18444862,27
99224110,104
28132344,112
16096,14
14476,96
16182,14
2061386,71
74892224,48
1040738,104
13655403,137
15695384,55
10080,27
16726,19
33307792,96
15876051,48
15505005,75
145785,48
14023910,43
12787,77
48171,12
103172637,50
3475,49
166572,27
27198557,25
80298050,14
2610,112
3042775,104
2238,23
10048388,1
2937169,14
1304385,15
77003969,44
2614427,27
145522,14
118486,43
310015,104
98447259,104
8716,96
87089640,27
1229716,118
3234958,104
78331809,143
1861137,100
51625397,137
1596601,48
2899266,96
61811101,44
15861467,4
3677,43
64697406,15
150772,104
163761,27
226898,104
3071652,9
15155562,70
2311,31
47580,15
305322,50
2305,96
12699415,4
9229026,104
1668011,96
65286386,104
42537,59
444782,27
389765,12
91120639,25
21642,100
5352221,90
13884,31
996149,44
60437,31
477843,96
2628791,98
163049,14
18613,27
21460,75
1344,112
6265,92
1211063,104
808034,104
1200322,80
12979710,10
79153265,29
1353,96
34583,14
55381,27
64611,104
72081740,104
287076,44
63879,104
18293159,1
6569061,34
17388,23
54788,104
11266342,14
3558,68
908113,14
11369433,55
4680,14
29121514,104
25053600,59
157353,27
2764432,14
12770,96
99500489,96
859069,96
269397,59
18268450,96
10593599,104
2612425,34
56350634,100
5266540,100
99351497,113
8653,9
89520,53
61984,43
80871784,104
56004080,18
89684468,12
22505,48
2399284,104
13624369,96
9331883,104
2498108,17
59634,61
9454833,43
213642,4
2650,68
948847,53
103114587,19
2509347,104
933942,96
50076,4
153364,11
20369,19
2396310,104
7355,104
8835,11
68529,4
29686,104
9382700,89
19722,43
67155308,96
8847,69
7413,14
16388,96
2831596,13
63563,104
838311,15
109285,59
77847,68
2327,137
3715179,42
17995,23
68277835,48
9201883,42
3028,68
33619,41
110410,146
3386,97
74364029,104
16775,104
87117542,56
54325,96
157240,96
25026529,11
3625,53
3362620,43
24795036,43
12984051,139
299305,104
18756,92
740278,34
2300,27
2480456,44
922983,14
1475190,137
21007,4
87147260,43
310756,14
2019,43
10831504,14
67331111,4
450312,17
16685,48
33247784,42
101591290,96
18058364,14
3029525,14
1768093,14
5340064,68
22456,104
7587252,96
68160051,124
6575603,104
165924,91
9859,53
2385130,42
25929,104
2951516,43
116488,47
1122744,23
8498368,100
10364146,43
1063,4
2143963,104
2564990,8
47664328,8
10010758,25
2474662,104
5399183,124
1767,43
7933020,29
5365891,96
62197,139
2843538,12
1339209,28
35679573,96
165461,14
1012577,80
6419,24
7886,86
80301,80
3325979,96
68277511,104
99093396,4
5884,7
81958632,49
28648492,59
3043691,118
11427160,43
95710173,50
396765,48
2684081,96
79988879,43
2107,53
69891324,44
38900,27
3557,70
7926885,43
5674,14
612636,43
3593828,104
9018,82
10376920,53
167902,6
3653845,4
1087151,51
74539755,42
815009,104
304182,48
2614691,50
10515109,54
1646,68
163138,42
17138,8
166587,14
10559,17
18021229,78
7507,143
7684,4
11506594,51
2569441,25
3180238,14
86813252,96
2081025,112
10127950,43
765008,4
721189,14
96691,96
27139071,100
107699,34
35647080,138
15248569,68
28974109,11
1029798,11
163864,27
81527214,14
3738912,27
128505,14
11683433,1
33711,86
163071,75
163161,48
64538444,14
10298482,96
91392159,139
107021,96
4296,8
35634312,57
120240,8
29295618,144
816968,121
11246635,104
1393718,104
124759,67
7542,42
66705802,104
36749,27
165602,96
2260243,4
3009879,11
2447993,104
162301,55
3719923,15
28978143,14
3175,135
304056,44
945178,112
163617,104
718526,14
